node_ID,label,NRP_metallophores_detected,Matched_count,NRPmet_per_genome,Matched_reps
ID38972,Xanthobacteraceae_mixed_RG1,24,89,0.269662921348315,GCA_001464035.1;GCA_001896955.1;GCA_001897285.1;GCA_001899255.1;GCA_002256345.1;GCF_000011365.1;GCF_000012725.1;GCF_000013365.1;GCF_000013885.1;GCF_000015165.1;GCF_000026145.1;GCF_000152905.1;GCF_000239775.1;GCF_000239795.1;GCF_000239815.1;GCF_000244915.1;GCF_000261685.1;GCF_000282615.1;GCF_000284375.1;GCF_000296215.2;GCF_000333455.1;GCF_000344805.1;GCF_000426245.1;GCF_000426845.1;GCF_000472385.1;GCF_000472425.1;GCF_000472865.1;GCF_000472925.1;GCF_000472965.1;GCF_000473045.1;GCF_000473065.1;GCF_000515415.1;GCF_000617845.2;GCF_000701345.1;GCF_000935205.1;GCF_000938255.1;GCF_000938305.1;GCF_001189235.2;GCF_001189245.1;GCF_001238275.1;GCF_001295845.1;GCF_001440035.1;GCF_001440395.1;GCF_001440405.1;GCF_001440415.1;GCF_001440475.1;GCF_001542415.1;GCF_001556045.1;GCF_001590795.1;GCF_001618955.1;GCF_001641335.1;GCF_001641635.1;GCF_001641695.1;GCF_001693385.1;GCF_001693485.1;GCF_001908185.1;GCF_001908205.1;GCF_001908235.1;GCF_001982635.1;GCF_002028545.1;GCF_002068095.1;GCF_002266435.2;GCF_002266465.2;GCF_002278135.2;GCF_002531575.1;GCF_002532045.1;GCF_002776695.1;GCF_002795245.1;GCF_002831585.1;GCF_003020115.1;GCF_003020125.1;GCF_003031265.1;GCF_003062295.1;GCF_003217325.1;GCF_003226555.1;GCF_900094575.1;GCF_900094605.1;GCF_900099825.1;GCF_900103365.1;GCF_900109945.1;GCF_900110435.1;GCF_900113735.1;GCF_900114915.1;GCF_900115265.1;GCF_900129425.1;GCF_900129505.1;GCF_900141755.1;GCF_900142985.1;GCF_900176205.1
ID37953,Rhizobiaceae_mixed_RG1,46,132,0.348484848484848,GCA_002307905.1;GCA_002376235.1;GCA_002500765.1;GCA_002796995.1;GCA_003241215.1;GCA_003248775.1;GCA_003501385.1;GCA_003527225.1;GCA_900465665.1;GCA_900465675.1;GCA_900465755.1;GCA_900466005.1;GCA_900466475.1;GCA_900466605.1;GCA_900466875.1;GCA_900466945.1;GCA_900467745.1;GCA_900468285.1;GCA_900468535.1;GCA_900468625.1;GCA_900468805.1;GCA_900469345.1;GCA_900469445.1;GCA_900469475.1;GCA_900469615.1;GCA_900469955.1;GCA_900470155.1;GCA_900470805.1;GCA_900470965.1;GCA_900471515.1;GCA_900471605.1;GCA_900471925.1;GCA_900472395.1;GCA_900472485.1;GCA_900472575.1;GCA_900472605.1;GCA_900472625.1;GCA_900472675.1;GCA_900472925.1;GCA_900473205.1;GCA_900473745.1;GCA_900473805.1;GCA_900489925.1;GCF_000009265.1;GCF_000023185.1;GCF_000092025.1;GCF_000092045.1;GCF_000172795.2;GCF_000247475.1;GCF_000271845.1;GCF_000282035.1;GCF_000282095.2;GCF_000292525.1;GCF_000298315.2;GCF_000300855.1;GCF_000312665.1;GCF_000330885.1;GCF_000359745.1;GCF_000377565.1;GCF_000419765.1;GCF_000426285.1;GCF_000518785.1;GCF_000621665.1;GCF_000696095.1;GCF_000731315.1;GCF_000732195.1;GCF_000739935.1;GCF_000799715.1;GCF_000816845.1;GCF_000834635.1;GCF_000949865.1;GCF_001005825.1;GCF_001187535.1;GCF_001296045.1;GCF_001422245.1;GCF_001423425.1;GCF_001424945.1;GCF_001426265.1;GCF_001429245.1;GCF_001429725.1;GCF_001541315.1;GCF_001542405.1;GCF_001652265.1;GCF_001657485.1;GCF_001662075.1;GCF_001664485.1;GCF_001692325.1;GCF_001713475.1;GCF_001854865.1;GCF_001908375.1;GCF_001938985.1;GCF_001939045.1;GCF_002008165.1;GCF_002008225.1;GCF_002008365.1;GCF_002117485.1;GCF_002204185.1;GCF_002211285.1;GCF_002211305.1;GCF_002211365.1;GCF_002277895.1;GCF_002531725.1;GCF_002531825.1;GCF_002531935.1;GCF_002600635.1;GCF_002855515.1;GCF_002896715.1;GCF_002914525.1;GCF_002915175.1;GCF_002944315.1;GCF_002953715.1;GCF_002968575.1;GCF_002968635.1;GCF_003024605.1;GCF_003025035.1;GCF_003122325.1;GCF_003205195.1;GCF_003240565.1;GCF_003240585.1;GCF_900094545.1;GCF_900094555.1;GCF_900094565.1;GCF_900094585.1;GCF_900094625.1;GCF_900099775.1;GCF_900102105.1;GCF_900110205.1;GCF_900111905.1;GCF_900156055.1;GCF_900169785.1;GCF_900176345.1;GCF_900177415.1
ID13356,Streptomyces_RG4,7,12,0.583333333333333,GCF_000373585.1;GCF_000717345.1;GCF_000718015.1;GCF_000720175.1;GCF_000805335.1;GCF_000935125.1;GCF_001294335.1;GCF_001509485.1;GCF_001590865.1;GCF_002082195.1;GCF_002803155.1;GCF_900187385.1
ID11146,Nocardia_RG2,46,28,1.64285714285714,GCF_000308375.1;GCF_000308535.1;GCF_000308615.1;GCF_000308635.1;GCF_000308655.1;GCF_000308815.1;GCF_000308855.1;GCF_000308875.1;GCF_000381925.1;GCF_000523235.1;GCF_000526215.1;GCF_001612635.1;GCF_001612845.1;GCF_001612945.1;GCF_001612965.1;GCF_001613005.1;GCF_001613065.1;GCF_001613105.1;GCF_001613145.1;GCF_001613165.1;GCF_001613265.1;GCF_001613305.1;GCF_001613325.1;GCF_001613345.1;GCF_001613405.1;GCF_001613505.1;GCF_001625085.1;GCF_002933465.1
ID12292,Actinoplanes,8,17,0.470588235294118,GCA_000715855.1;GCF_000284295.1;GCF_000379645.1;GCF_000389965.1;GCF_000494755.1;GCF_000721705.1;GCF_000962825.1;GCF_001553785.1;GCF_003001815.1;GCF_003002065.1;GCF_003148685.1;GCF_003259845.1;GCF_900104725.1;GCF_900113015.1;GCF_900119315.1;GCF_900188005.1;GCF_900215205.1
ID13430,Streptomyces_RG5,6,8,0.75,GCF_000147815.2;GCF_000158915.1;GCF_000968685.2;GCF_001417735.1;GCF_001553455.1;GCF_001704635.1;GCF_002154605.1;GCF_002224125.1
ID7178,Bacillus_A_RG1,19,26,0.730769230769231,GCF_000007825.1;GCF_000017425.1;GCF_000021305.1;GCF_000161455.1;GCF_000299035.1;GCF_000496285.1;GCF_000746925.1;GCF_000832605.1;GCF_001455345.1;GCF_001583695.1;GCF_001590835.1;GCF_001595725.1;GCF_001757995.1;GCF_001884105.1;GCF_002551815.1;GCF_002561295.1;GCF_002564555.1;GCF_002567495.1;GCF_002571225.1;GCF_002574955.1;GCF_002577405.1;GCF_002584535.1;GCF_002584985.1;GCF_002746455.1;GCF_002975175.1;GCF_900094905.1
ID10911,Mycolicibacterium_RG1,61,59,1.03389830508475,GCF_000230895.2;GCF_000243415.2;GCF_000266905.1;GCF_000317305.3;GCF_000328565.1;GCF_000373905.1;GCF_000382405.1;GCF_000455325.1;GCF_000613185.1;GCF_000620625.1;GCF_000691525.1;GCF_000805385.1;GCF_000878195.1;GCF_001044235.1;GCF_001044255.1;GCF_001050015.1;GCF_001050035.1;GCF_001245615.1;GCF_001426545.1;GCF_001428895.1;GCF_001457595.1;GCF_001499905.1;GCF_001499965.1;GCF_001545925.1;GCF_001552715.1;GCF_001570425.1;GCF_001570485.1;GCF_001583415.1;GCF_001644575.1;GCF_001650495.1;GCF_001665575.1;GCF_001665625.1;GCF_001665785.1;GCF_001667505.1;GCF_001668615.1;GCF_001672895.1;GCF_001722335.1;GCF_001942625.1;GCF_001953975.1;GCF_001954135.1;GCF_002043095.1;GCF_002086115.1;GCF_002086485.1;GCF_002086795.1;GCF_002086815.1;GCF_002101555.1;GCF_002101705.1;GCF_002101965.1;GCF_002102345.1;GCF_002157835.1;GCF_002245535.1;GCF_002553505.1;GCF_002591975.1;GCF_002838065.1;GCF_003201655.1;GCF_900078665.2;GCF_900108565.1;GCF_900187065.1;GCF_900240945.1
ID12399,Nonomuraea,7,10,0.7,GCF_000725485.1;GCF_001083785.1;GCF_002850745.1;GCF_003001935.1;GCF_003236395.1;GCF_900099965.1;GCF_900100395.1;GCF_900108335.1;GCF_900109355.1;GCF_900111685.1
ID13599,Kitasatospora_RG1,7,8,0.875,GCF_000716875.1;GCF_000718025.1;GCF_000719705.1;GCF_000720635.1;GCF_000961885.1;GCF_001625365.1;GCF_001905545.1;GCF_900199205.1
ID10668,Mycobacterium,89,83,1.07228915662651,GCA_002291465.1;GCA_002863225.1;GCA_003165155.1;GCF_000157895.3;GCF_000164135.1;GCF_000195855.1;GCF_000195955.2;GCF_000277125.1;GCF_000340435.2;GCF_000455205.1;GCF_000526915.1;GCF_000613245.1;GCF_000689255.1;GCF_001053185.1;GCF_001417955.2;GCF_001665235.1;GCF_001665295.1;GCF_001665395.1;GCF_001665605.1;GCF_001665835.1;GCF_001665875.1;GCF_001666755.1;GCF_001666835.1;GCF_001667015.1;GCF_001667035.1;GCF_001667075.1;GCF_001667115.1;GCF_001667145.1;GCF_001667185.1;GCF_001667275.1;GCF_001667315.1;GCF_001667585.1;GCF_001667735.1;GCF_001667775.1;GCF_001667885.1;GCF_001667925.1;GCF_001668675.1;GCF_001668725.1;GCF_001672755.1;GCF_001672775.1;GCF_001672815.1;GCF_001672915.1;GCF_001672975.1;GCF_001673155.1;GCF_001673315.1;GCF_001673365.1;GCF_001673405.1;GCF_001673535.1;GCF_001673555.1;GCF_001673635.1;GCF_001907675.1;GCF_001953985.1;GCF_001954195.1;GCF_001954275.1;GCF_002086125.1;GCF_002086155.1;GCF_002086275.1;GCF_002086635.1;GCF_002086675.1;GCF_002086735.1;GCF_002101595.1;GCF_002101675.1;GCF_002101735.1;GCF_002101785.1;GCF_002101815.1;GCF_002101845.1;GCF_002102155.1;GCF_002102175.1;GCF_002102185.1;GCF_002102255.1;GCF_002102355.1;GCF_002104675.1;GCF_002104765.1;GCF_002105755.1;GCF_002116635.1;GCF_002356315.1;GCF_003112775.1;GCF_900078675.2;GCF_900157365.1;GCF_900157375.1;GCF_900157385.1;GCF_900176255.2;GCF_900240975.1
