p__Cyanobacteria_c__Cyanobacteriia_o__Elainellales_f__Elainellaceae_g__Oculatella_s__Oculatella_sp015207605,_h4,Loss,1.0,1.0
p__Cyanobacteria_c__Cyanobacteriia_o__Elainellales_f__Elainellaceae_g__Oculatella_s__Oculatella_sp015207605,RS_GCF_015207605.1,Contemporaneous,1.0,8.881784197001252e-16
_p5,GB_GCA_012034805.1,Transfer,1.0,1.0
_p6,_h16,Duplication,1.0,1.0
_p7,_h16,Cospeciation,1.0,1.0
_p9,_h19,Cospeciation,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Aquamicrobium_A_s__Aquamicrobium_A_sp001014615,RS_GCF_001014615.2,Contemporaneous,1.0,8.881784197001252e-16
_p10,_h20,Cospeciation,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Allorhizobium_s__Allorhizobium_vitis_D,RS_GCF_013426735.1,Contemporaneous,1.0,8.881784197001252e-16
p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Agrobacterium_s__Agrobacterium_tumefaciens_I,GB_GCA_017744915.1,Contemporaneous,1.0,8.881784197001252e-16
_p8,_h17,Cospeciation,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Pseudorhodobacter_s__Pseudorhodobacter_turbinis,_h18,Loss,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Pseudorhodobacter_s__Pseudorhodobacter_turbinis,RS_GCF_005234135.1,Contemporaneous,1.0,8.881784197001252e-16
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Albimonas_s__Albimonas_pacifica,RS_GCF_900113695.1,Contemporaneous,1.0,8.881784197001252e-16
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Paracoccus_s__Paracoccus_caeni,_h16,Loss,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Paracoccus_s__Paracoccus_caeni,_h17,Loss,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Paracoccus_s__Paracoccus_caeni,_h18,Loss,1.0,1.0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Paracoccus_s__Paracoccus_caeni,RS_GCF_016629665.1,Contemporaneous,1.0,8.881784197001252e-16
p__Cyanobacteria_c__Cyanobacteriia_o__PCC-9006_f__Prochlorotrichaceae_g__JAAUOP01_s__JAAUOP01_sp012034805,GB_GCA_012034805.1,Contemporaneous,1.0,8.881784197001252e-16
